pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid	species
6svl	O	P	0	R	protein		myeloid-derived growth factor	CYTOKINE	09/18/19	human Myeloid-derived growth factor (MYDGF) in complex with neutralizing Fab	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Ebenhoch, R., Nar, H.	1.58	X-RAY DIFFRACTION	0.206	0.181	False	True	IGHV14	IGKV12	Kappa						Homo Sapiens
5y9j	H	L	0	A	protein		tumor necrosis factor ligand superfamily member 13b	PROTEIN BINDING	08/25/17	BAFF in complex with belimumab	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Heo, Y.-S., Shin, W.	2.05	X-RAY DIFFRACTION	0.217	0.18	False	True	IGHV1	IGLV3	Lambda						Homo Sapiens
6vvu	J	K	0	B	protein		tryptase alpha/beta-1	HYDROLASE/IMMUNE SYSTEM	02/18/20	Anti-Tryptase fab E104.v1 bound to tryptase	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Ultsch, M., Koerber, J.T.	3.0	X-RAY DIFFRACTION	0.232	0.187	False	True	IGHV4	IGKV1	Kappa						Homo Sapiens
7ley	D	E	0	A	protein		arginase-1	HYDROLASE/IMMUNE SYSTEM	01/15/21	Trimeric human Arginase 1 in complex with mAb5	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Gomez-Llorente, Y., Scapin, G., Palte, R.L.	3.05	ELECTRON MICROSCOPY			False	True	IGHV3	IGKV1	Kappa						Homo Sapiens
7si2	G	F	0	C	protein		spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	10/12/21	Crystal structure of neutralizing antibody 10-28 in complex with SARS-CoV-2 spike receptor binding domain (RBD)	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Reddem, E.R., Shapiro, L.	3.2	X-RAY DIFFRACTION	0.261	0.198	False	True	IGHV3	IGKV1	Kappa						SARS-CoV-2
6xlq	E	F	0	D	protein		butyrophilin subfamily 3 member a1	IMMUNE SYSTEM	06/29/20	Crystal Structure of the Human BTN3A1 Ectodomain in Complex with the CTX-2026 Fab	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	homo sapiens	Payne, K.K., Mine, J.A., Biswas, S., Chaurio, R.A., Perales-Puchalt, A., Anadon, C.M., Costich, T.L., Harro, C.M., Walrath, J., Ming, Q., Tcyganov, E., Buras, A.L., Rigolizzo, K.E., Mandal, G., Lajoie, J., Ophir, M., Tchou, J., Marchion, D., Luca, V.C., Bobrowicz, P., McLaughlin, B., Eskiocak, U., Schmidt, M., Cubillos-Ruiz, J.R., Rodriguez, P.C., Gabrilovich, D.I., Conejo-Garcia, J.R.	3.0	X-RAY DIFFRACTION	0.296	0.246	False	True	IGHV1	IGKV1	Kappa						Homo Sapiens
6xkq	H	L	0	A	protein		spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	06/26/20	Crystal structure of SARS-CoV-2 receptor binding domain in complex with neutralizing antibody CV07-250	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Yuan, M., Liu, H., Zhu, X., Wu, N.C., Wilson, I.A.	2.55	X-RAY DIFFRACTION	0.255	0.204	False	True	IGHV1	IGLV2	Lambda						SARS-CoV-2
5ggv	H	L	0	Y	protein		cytotoxic t-lymphocyte protein 4	IMMUNE SYSTEM	06/16/16	CTLA-4 in complex with tremelimumab Fab	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	homo sapiens	Heo, Y.S.	1.998	X-RAY DIFFRACTION	0.214	0.181	False	True	IGHV3	IGKV1	Kappa						Homo Sapiens
2vh5	H	L	0	R	protein		gtpase hras	IMMUNE SYSTEM	11/19/07	CRYSTAL STRUCTURE OF HRAS(G12V) - ANTI-RAS FV (disulfide free mutant)  COMPLEX	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Tanaka, T., Williams, R.L., Rabbitts, T.H.	2.7	X-RAY DIFFRACTION	0.291	0.211	False	True	IGHV3	IGKV1	Kappa						Homo Sapiens
7ams	H	L	0	B	protein		human a6 t-cell receptor beta chain trbc2	IMMUNE SYSTEM	10/09/20	Crystal structure of the complex of the KFN mutant of HuJovi-1 Fab with human TRBC2	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Ferrari, M., Bulek, A., Bughda, R., Jha, R., Welin, M., Svensson, A., Logan, D.T., Sewell, A., Onuoha, S., Pule, M.	2.419	X-RAY DIFFRACTION	0.225	0.18	False	True	IGHV1	IGKV1	Kappa						Homo Sapiens
5xez	H	L	0	B	protein		glucagon receptor,endolysin,glucagon receptor	SIGNALING PROTEIN	04/06/17	Structure of the Full-length glucagon class B G protein-coupled receptor	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens, enterobacteria phage t4	Zhang, H., Qiao, A., Yang, D., Yang, L., Dai, A., de Graaf, C., Reedtz-Runge, S., Dharmarajan, V., Zhang, H., Han, G.Y., Grant, T., Sierra, R., Weierstall, U., Nelson, G., Liu, W., Wu, Y., Ma, L., Cai, X., Lin, G., Wu, X., Geng, Z., Dong, Y., Song, G., Griffin, P., Lau, J., Cherezov, V., Yang, H., Hanson, M., Stevens, R., Jiang, H., Wang, M., Zhao, Q., Wu, B.	3.0	X-RAY DIFFRACTION	0.243	0.21	False	True	IGHV3	IGKV1	Kappa						Homo Sapiens
7chz	H	L	0	I	protein		interleukin-1 beta	IMMUNOSUPPRESSANT	07/06/20	Crystal Structure Of Human Il-1beta In Complex With Antibody Binding Fragment Of IgG26A	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Lee, C.C., Wang, A.H.J., Kuo, W.C.	2.5	X-RAY DIFFRACTION	0.26	0.193	False	True	IGHV3	IGKV1	Kappa						Homo Sapiens
7ws0	G	F	0	B	protein		spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	01/28/22	Structures of Omicron Spike complexes illuminate broad-spectrum neutralizing antibody development	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Guo, H., Gao, Y., Ji, X., Yang, H.	3.2	ELECTRON MICROSCOPY			False	True	IGHV3	IGKV1	Kappa						SARS-CoV-2
7nxa	A	B	0	E	protein		spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	03/17/21	Crystal structure of the receptor binding domain of SARS-CoV-2 B.1.351 variant Spike glycoprotein in complex with COVOX-222 and EY6A Fabs	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhou, D., Ren, J., Stuart, D.	2.5	X-RAY DIFFRACTION	0.253	0.205	False	True	IGHV3	IGKV3	Kappa						SARS-CoV-2
5lsp	H	L	0	A	protein		hepatocyte growth factor receptor	TRANSFERASE	09/05/16	107_A07 Fab in complex with fragment of the Met receptor	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	DiCara, D., Chirgadze, D.Y., Pope, A., Karatt-Vellatt, A., Winter, A., van den Heuvel, J., Gherardi, E., McCafferty, J.	2.605	X-RAY DIFFRACTION	0.257	0.215	False	True	IGHV1	IGKV1	Kappa						Homo Sapiens
3g04	B	A	0	C	protein		thyrotropin receptor	IMMUNE SYSTEM	01/27/09	Crystal structure of the TSH receptor in complex with a thyroid-stimulating autoantibody	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Sanders, J., Chirgadze, D.Y., Sanders, P., Baker, S., Sullivan, A., Bhardwaja, A., Bolton, J., Reeve, M., Nakatake, N., Evans, M., Richards, T., Powell, M., Miguel, R.N., Blundell, T.L., Furmaniak, J., Smith, B.R.	2.55	X-RAY DIFFRACTION	0.245	0.181	False	True	IGHV5	IGLV1	Lambda						Homo Sapiens
7c01	H	L	0	A	protein		sars-cov-2 spike protein s1	VIRAL PROTEIN	04/29/20	Molecular basis for a potent human neutralizing antibody targeting SARS-CoV-2 RBD	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Shi, R., Qi, J., Wang, Q., Gao, F.G., Yan, J.	2.88	X-RAY DIFFRACTION	0.265	0.218	False	True	IGHV3	IGKV1	Kappa						SARS-CoV-2
3sob	H	L	0	B	protein		low-density lipoprotein receptor-related protein 6	PROTEIN BINDING/IMMUNE SYSTEM	06/30/11	The structure of the first YWTD beta propeller domain of LRP6 in complex with a FAB	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Wang, W., Bourhis, E., Tam, C., Zhang, Y., Rouge, L., Wu, Y., Franke, Y., Cochran, A.G.	1.9	X-RAY DIFFRACTION	0.212	0.174	False	True	IGHV3	IGKV1	Kappa						Homo Sapiens
3eoa	H	L	0	I	protein		integrin alpha-l	IMMUNE SYSTEM/CELL ADHESION	09/26/08	Crystal structure the Fab fragment of Efalizumab in complex with LFA-1 I domain, Form I	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Li, S., Ding, J.	2.8	X-RAY DIFFRACTION	0.264	0.225	False	True	IGHV3	IGKV1	Kappa	2.2e-09	-11.8	SPR	25	19258452.0	Homo Sapiens
3nps	B	C	0	A	protein		suppressor of tumorigenicity 14 protein	HYDROLASE/IMMUNE SYSTEM	06/29/10	Crystal structure of membrane-type serine protease 1 (MT-SP1) in complex with the Fab Inhibitor S4	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Baharuddin, A.	1.5	X-RAY DIFFRACTION	0.228	0.188	False	True	IGHV1	IGLV1	Lambda						Homo Sapiens
7qf1	C	B	0	A	protein		spike protein s1	VIRAL PROTEIN	12/03/21	Crystal structure of the SARS-CoV-2 RBD in complex with the human antibody CV2.6264	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Fernandez, I., Pederzoli, R., Rey, F.A.	2.8	X-RAY DIFFRACTION	0.254	0.229	False	True	IGHV1	IGKV1	Kappa						SARS-CoV-2
3n85	H	L	0	A	protein		receptor tyrosine-protein kinase erbb-2	Transferase/immune system	05/27/10	Crystallographic trimer of HER2 extracellular regions in complex with tryptophan-rich antibody fragment	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Eigenbrot, C.	3.2	X-RAY DIFFRACTION	0.23	0.206	False	True	IGHV3	IGKV1	Kappa	7.9e-10	-12.41	SPR		20654626.0	Homo Sapiens
7shy	C	D	0	A	protein		ige fc	IMMUNE SYSTEM	10/11/21	IgE-Fc in complex with omalizumab scFv	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Pennington, L.F., Jardetzky, T.J., Kleinboelting, S.	3.0	X-RAY DIFFRACTION	0.23	0.173	False	True	IGHV3	IGKV1	Kappa						Homo Sapiens
7dk0	A	B	0	C	protein		spike protein s1	IMMUNE SYSTEM/VIRAL PROTEIN	11/22/20	Crystal structure of SARS-CoV-2 Spike RBD in complex with MW05 Fab	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Wang, J., Jiao, S., Wang, R., Zhang, J., Zhang, M., Wang, M.	3.199	X-RAY DIFFRACTION	0.265	0.218	False	True	IGHV1	IGKV3	Kappa						SARS-CoV-2
7amq	H	L	0	B	protein		human a6 t-cell receptor beta chain trbc1	IMMUNE SYSTEM	10/09/20	Crystal structure of the complex of HuJovi-1 Fab with the human TRBC2	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Ferrari, M., Bulek, A., Bughda, R., Jha, R., Welin, M., Logan, D.T., Sewell, A., Onuoha, S., Pule, M.	2.353	X-RAY DIFFRACTION	0.249	0.201	False	True	IGHV1	IGKV1	Kappa						Homo Sapiens
6pe9	H	L	0	V	protein		tumor necrosis factor receptor superfamily member 5	IMMUNE SYSTEM	06/20/19	Crystal Structure of CD40 complexed to FAB516	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Argiriadi, M.A.	3.13	X-RAY DIFFRACTION	0.255	0.216	False	True	IGHV3	IGKV4	Kappa						Homo Sapiens
6u36	H	L	0	B	protein		proprotein convertase subtilisin/kexin type 9	HYDROLASE/Immune System	08/21/19	PCSK9 in complex with a Fab and compound 14	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Lu, J., Soisson, S.	2.7	X-RAY DIFFRACTION	0.251	0.24	False	True	IGHV3	IGKV3	Kappa						Homo Sapiens
5hi4	C	D	0	B	protein		interleukin-17a	IMMUNE SYSTEM/INHIBITOR	01/11/16	Binding site elucidation and structure guided design of macrocyclic IL-17A antagonists	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	homo sapiens	Liu, S.	1.8	X-RAY DIFFRACTION	0.224	0.2	False	True	IGHV3	IGLV6	Lambda						Homo Sapiens
7pqy	H	L	0	E	protein		spike protein s1	VIRAL PROTEIN	09/20/21	Crystal structure of the receptor binding domain of SARS-CoV-2 Spike glycoprotein in complex with FI-3A Fab	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhou, D., Ren, J., Stuart, D.	3.0	X-RAY DIFFRACTION	0.245	0.228	False	True	IGHV3	IGKV1	Kappa						SARS-CoV-2
5xku	C	B	0	A	protein		influenza a virus	IMMUNE SYSTEM	05/09/17	Crystal structure of hemagglutinin globular head from an H7N9 influenza virus in complex with a neutralizing antibody HNIgGA6	INFLUENZA A VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus	Chen, C., Wang, J., Wang, W., Gao, X., Cui, S., Jin, Q.	1.78	X-RAY DIFFRACTION	0.242	0.206	False	True	IGHV4	IGKV1	Kappa						Influensa A
7kql	H	L	0	T	protein		hepatitis a virus cellular receptor 2	IMMUNE SYSTEM	11/16/20	Anti-Tim3 antibody Fab complex	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Deng, X.A., West, S.M., Strop, P.	1.49	X-RAY DIFFRACTION	0.2	0.177	False	True	IGHV4	IGKV3	Kappa						Homo Sapiens
6aru	C	B	0	A	protein		epidermal growth factor receptor	TRANSFERASE/IMMUNE SYSTEM	08/23/17	Structure of Cetuximab Fab mutant in complex with EGFR extracellular domain	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Christie, M., Christ, D.	3.2	X-RAY DIFFRACTION	0.267	0.232	False	True	IGHV2	IGKV5	Kappa						Homo Sapiens
5hys	A	B	0	G	protein		ig epsilon chain c region	IMMUNE SYSTEM	02/01/16	Structure of IgE complexed with omalizumab	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Pennington, L.F., Tarchevskaya, S.S., Sathiyamoorthy, K., Jardetzky, T.S.	2.5	X-RAY DIFFRACTION	0.239	0.221	False	True	IGHV3	IGKV1	Kappa						Homo Sapiens
7qnw	A	B	0	E	protein		surface glycoprotein	VIRAL PROTEIN	12/23/21	The receptor binding domain of SARS-CoV-2 Omicron variant spike glycoprotein in complex with Beta-55 and EY6A Fabs	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhou, D., Ren, J., Stuart, D.I.	2.4	X-RAY DIFFRACTION	0.247	0.206	False	True	IGHV4	IGKV1	Kappa						SARS-CoV-2
6yla	H	L	0	E	protein		sars-cov-2 rbd	VIRAL PROTEIN	04/06/20	Crystal structure of the SARS-CoV-2 receptor binding domain in complex with CR3022 Fab	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Huo, J., Zhao, Y., Ren, J., Zhou, D., Ginn, H.M., Fry, E.E., Owens, R., Stuart, D.I.	2.42	X-RAY DIFFRACTION	0.237	0.213	False	True	IGHV5	IGKV4	Kappa						SARS-CoV-2
7kn4	M	N	0	B	protein		spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	11/04/20	Crystal structure of SARS-CoV-2 spike protein receptor-binding domain complexed with a pre-pandemic antibody S-E6 Fab	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Liu, H., Wilson, I.A.	2.7	X-RAY DIFFRACTION	0.291	0.241	False	True	IGHV4	IGLV1	Lambda						SARS-CoV-2
5mes	H	L	0	A	protein		induced myeloid leukemia cell differentiation protein mcl-1homolog,induced myeloid leukemia cell differentiation protein mcl-1 	IMMUNE SYSTEM	11/16/16	MCL1 FAB COMPLEX IN COMPLEX WITH COMPOUND 29	MUS MUSCULUS; HOMO SAPIENS	homo sapiens	homo sapiens	mus musculus, homo sapiens	Hargreaves, D.	2.24	X-RAY DIFFRACTION	0.23	0.18	False	True	IGHV3	IGLV1	Lambda						Homo Sapiens
6xc7	C	D	0	A	protein		spike protein s1	IMMUNE SYSTEM/VIRAL PROTEIN	06/08/20	Crystal structure of SARS-CoV-2 receptor binding domain in complex with antibodies CC12.3 and CR3022	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Yuan, M., Liu, H., Wu, N.C., Zhu, X., Wilson, I.A.	2.883	X-RAY DIFFRACTION	0.259	0.219	False	True	IGHV3	IGKV3	Kappa						SARS-CoV-2
7wwm	I	M	0	B	protein		spike glycoprotein	VIRAL PROTEIN	02/13/22	S protein of Delta variant in complex with ZWC6	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Guo, Y.Y., Zhang, Y.Y., Zhou, Q.	2.8	ELECTRON MICROSCOPY			False	True	IGHV3	IGKV3	Kappa						SARS-CoV-2
7m7w	C	D	0	S	protein		spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	03/29/21	Antibodies to the SARS-CoV-2 receptor-binding domain that maximize breadth and resistance to viral escape	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Snell, G., Czudnochowski, N., Croll, T.I., Nix, J.C., Corti, D., Cameroni, E., Pinto, D., Beltramello, M.	2.65	X-RAY DIFFRACTION	0.271	0.221	False	True	IGHV5	IGLV2	Lambda						SARS-CoV-2
6iut	H	L	0	A	protein		hemagglutinin	IMMUNE SYSTEM	11/30/18	Crystal structure of influenza A virus H5 hemagglutinin globular head in complex with the Fab of antibody AVFluIgG01	HOMO SAPIENS; INFLUENZA A VIRUS (A/ANHUI/1/2005(H5N1))	homo sapiens	homo sapiens	influenza a virus (a/anhui/1/2005(h5n1))	Wang, P., Zuo, Y., Sun, J., Zhang, L., Wang, X.	2.3	X-RAY DIFFRACTION	0.255	0.205	False	True	IGHV4	IGLV2	Lambda						Influensa A
7lxz	H	J	0	A	protein		spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	03/05/21	SARS-CoV-2 S/S2M11/S2L28 Global Refinement	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	McCallum, M., Veesler, D., Seattle Structural Genomics Center for Infectious Disease (SSGCID)	2.6	ELECTRON MICROSCOPY			False	True	IGHV3	IGLV2	Lambda						SARS-CoV-2
3nfp	H	L	0	I	protein		interleukin-2 receptor subunit alpha	Immune system/Cytokine	06/10/10	Crystal structure of the Fab fragment of therapeutic antibody daclizumab in complex with IL-2Ra (CD25) ectodomain	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Yang, H., Wang, J., Du, J., Zhong, C., Guo, Y., Ding, J.	2.86	X-RAY DIFFRACTION	0.301	0.253	False	True	IGHV1	IGKV1	Kappa	2.7e-10	-13.05	SPR	25	20820193.0	Homo Sapiens
7kfv	F	G	0	E	protein		surface glycoprotein	IMMUNE SYSTEM/Viral protein	10/15/20	Structural basis for a germline-biased antibody response to SARS-CoV-2 (RBD:C1A-B12 Fab)	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Pan, J., Abraham, J., Clark, L., Clark, S.	2.102	X-RAY DIFFRACTION	0.216	0.183	False	True	IGHV3	IGKV1	Kappa						SARS-CoV-2
7chf	A	B	0	R	protein		sars-cov-2 receptor binding domain	ANTIVIRAL PROTEIN/IMMUNE SYSTEM	07/05/20	Crystal structure of the SARS-CoV-2 RBD in complex with BD-604 Fab and BD-368-2 Fab	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Xiao, J., Zhu, Q.	2.674	X-RAY DIFFRACTION	0.27	0.22	False	True	IGHV3	IGKV2	Kappa						SARS-CoV-2
5bv7	C	B	0	A	protein		phosphatidylcholine-sterol acyltransferase	HYDROLASE/IMMUNE SYSTEM	06/04/15	Crystal structure of human LCAT (L4F, N5D) in complex with Fab of an agonistic antibody	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Piper, D.E., Romanow, W.G., Thibault, S.T., Walker, N.P.C.	2.45	X-RAY DIFFRACTION	0.242	0.189	False	True	IGHV3	IGLV3	Lambda						Homo Sapiens
6yxd	H	L	0	A	protein		adiponectin receptor protein 2	MEMBRANE PROTEIN	05/01/20	Room temperature structure of human adiponectin receptor 2 (ADIPOR2) at 2.9 A resolution determined by Serial Crystallography (SSX) using CrystalDirect	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Healey, R.D., Basu, S., Humm, A.S., Leyrat, C., Dupeux, F., Pica, A., Granier, S., Marquez, J.A.	2.9	X-RAY DIFFRACTION	0.253	0.199	False	True	IGHV1	IGKV12	Kappa						Homo Sapiens
5mev	H	L	0	A	protein		induced myeloid leukemia cell differentiation protein mcl-1homolog,induced myeloid leukemia cell differentiation protein mcl-1 	IMMUNE SYSTEM	11/16/16	MCL1 FAB COMPLEX IN COMPLEX WITH COMPOUND 21	MUS MUSCULUS; HOMO SAPIENS	homo sapiens	homo sapiens	mus musculus, homo sapiens	Hargreaves, D.	2.94	X-RAY DIFFRACTION	0.302	0.225	False	True	IGHV3	IGLV1	Lambda						Homo Sapiens
7r40	D	F	0	B	protein		spike glycoprotein	VIRAL PROTEIN	02/08/22	Structure of the SARS-CoV-2 spike glycoprotein in complex with the 87G7 antibody Fab fragment	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Hurdiss, D.L.	2.9	ELECTRON MICROSCOPY			False	True	IGHV3	IGKV3	Kappa						SARS-CoV-2
7si0	I	J	0	G	protein		ige fc	IMMUNE SYSTEM	10/12/21	IgE-Fc in complex with 813	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Pennington, L.F., Jardetzky, T.J., Kleinboelting, S.	3.0	X-RAY DIFFRACTION	0.261	0.21	False	True	IGHV3	IGKV1	Kappa						Homo Sapiens
7lxx	H	L	0	A	protein		spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	03/05/21	SARS-CoV-2 S/S2M11/S2L28 Local Refinement	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	McCallum, M., Veesler, D., Seattle Structural Genomics Center for Infectious Disease (SSGCID)	3.0	ELECTRON MICROSCOPY			False	True	IGHV3	IGLV2	Lambda						SARS-CoV-2
7cho	H	L	0	E	protein		spike protein s1	VIRAL PROTEIN	07/06/20	Crystal structure of SARS-CoV-2 antibody P5A-1D2 with RBD	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Wang, X., Zhang, L., Ge, J., Wang, R., Zhang, Q.	2.561	X-RAY DIFFRACTION	0.247	0.202	False	True	IGHV3	IGLV1	Lambda						SARS-CoV-2
7l0n	M	N	0	S	protein		spike protein s1	VIRAL PROTEIN/HYDROLASE	12/11/20	Circulating SARS-CoV-2 spike N439K variants maintain fitness while evading antibody-mediated immunity	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Snell, G., Czudnochowski, N., Dillen, J., Nix, J.C., Croll, T.I., Corti, D.	2.78	X-RAY DIFFRACTION	0.325	0.29	False	True	IGHV3	IGKV1	Kappa						SARS-CoV-2
7mzg	H	L	0	A	protein		spike protein s1	VIRAL PROTEIN	05/24/21	SARS-CoV-2 receptor binding domain bound to Fab PDI 42	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Pymm, P., Chan, L.J., Dietrich, M.H., Tan, L.L., Tham, W.H.	2.0	X-RAY DIFFRACTION	0.236	0.2	False	True	IGHV3	IGKV1	Kappa						SARS-CoV-2
7m6d	A	B	0	C	protein		spike protein s1	VIRAL PROTEIN/ANTIVIRAL PROTEIN	03/25/21	Structure of the SARS-CoV-2 RBD in complex with neutralizing antibodies BG4-25 and CR3022	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Barnes, C.O., Bjorkman, P.J.	3.1	X-RAY DIFFRACTION	0.259	0.219	False	True	IGHV5	IGKV4	Kappa						SARS-CoV-2
5ggs	C	D	0	Y	protein		programmed cell death protein 1	IMMUNE SYSTEM	06/16/16	PD-1 in complex with pembrolizumab Fab	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	homo sapiens	Heo, Y.S.	1.997	X-RAY DIFFRACTION	0.228	0.18	False	True	IGHV1	IGKV3	Kappa						Homo Sapiens
4d9r	H	L	0	A	protein		complement factor d	HYDROLASE/IMMUNE SYSTEM	01/11/12	Inhibiting Alternative Pathway Complement Activation by Targeting the Exosite on Factor D	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Murray, J.M., Wiesmann, C.	2.42	X-RAY DIFFRACTION	0.251	0.213	False	True	IGHV7	IGKV1	Kappa						Homo Sapiens
5dur	H	L	0	C	protein		hemagglutinin	IMMUNE SYSTEM	09/20/15	Influenza A virus H5 hemagglutinin globular head in complex with antibody 100F4	INFLUENZA A VIRUS (A/ANHUI/1/2005(H5N1)); HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus (a/anhui/1/2005(h5n1))	Zuo, T., Sun, J., Wang, G., Zhou, P., Wang, X., Zhang, L.	2.82	X-RAY DIFFRACTION	0.257	0.208	False	True	IGHV4	IGLV1	Lambda						Influensa A
